Algorithm,Iteration,costValue
AntColonyAlg,12,12.40
AntColonyAlg,13,12.40
AntColonyAlg,14,12.40
AntColonyAlg,15,12.40
AntColonyAlg,16,12.40
AntColonyAlg,17,12.40
AntColonyAlg,18,12.40
AntColonyAlg,19,12.40
AntColonyAlg,20,12.40
AntColonyAlg,21,12.40
AntColonyAlg,22,12.40
AntColonyAlg,23,12.40
AntColonyAlg,24,12.40
AntColonyAlg,25,12.40
AntColonyAlg,26,12.40
AntColonyAlg,27,12.40
AntColonyAlg,28,12.40
AntColonyAlg,29,12.40
AntColonyAlg,30,12.40
AntColonyAlg,31,12.40
AntColonyAlg,32,12.40
AntColonyAlg,33,12.40
AntColonyAlg,34,12.40
AntColonyAlg,35,12.40
AntColonyAlg,36,12.40
AntColonyAlg,37,12.40
AntColonyAlg,38,12.40
AntColonyAlg,39,12.40
AntColonyAlg,40,12.40
AntColonyAlg,41,12.40
AntColonyAlg,42,12.40
AntColonyAlg,43,12.40
AntColonyAlg,44,12.40
AntColonyAlg,45,12.40
AntColonyAlg,46,12.40
AntColonyAlg,47,12.20
AntColonyAlg,48,12.20
AntColonyAlg,49,12.20
AntColonyAlg,50,12.20
AntColonyAlg,51,12.20
AntColonyAlg,52,12.20
AntColonyAlg,53,12.20
AntColonyAlg,54,12.20
AntColonyAlg,55,12.20
AntColonyAlg,56,12.20
AntColonyAlg,57,12.20
AntColonyAlg,58,12.20
AntColonyAlg,59,12.20
AntColonyAlg,60,12.20
AntColonyAlg,61,12.20
AntColonyAlg,62,12.20
AntColonyAlg,63,12.20
AntColonyAlg,64,12.20
AntColonyAlg,65,12.20
AntColonyAlg,66,12.20
AntColonyAlg,67,12.20
AntColonyAlg,68,12.20
AntColonyAlg,69,12.20
AntColonyAlg,70,12.20
AntColonyAlg,71,12.20
AntColonyAlg,72,12.20
AntColonyAlg,73,12.20
AntColonyAlg,74,12.20
AntColonyAlg,75,12.20
AntColonyAlg,76,12.20
AntColonyAlg,77,12.20
AntColonyAlg,78,12.20
AntColonyAlg,79,12.20
AntColonyAlg,80,12.20
AntColonyAlg,81,12.20
AntColonyAlg,82,12.20
AntColonyAlg,83,12.20
AntColonyAlg,84,12.20
AntColonyAlg,85,12.20
AntColonyAlg,86,12.20
AntColonyAlg,87,12.20
AntColonyAlg,88,12.20
AntColonyAlg,89,12.20
AntColonyAlg,90,12.20
AntColonyAlg,91,12.20
AntColonyAlg,92,12.20
AntColonyAlg,93,12.20
AntColonyAlg,94,12.20
AntColonyAlg,95,12.20
AntColonyAlg,96,12.20
AntColonyAlg,97,12.20
AntColonyAlg,98,12.20
AntColonyAlg,99,12.20
AntColonyAlg,0,12.80
AntColonyAlg,1,12.80
AntColonyAlg,2,12.80
AntColonyAlg,3,12.80
AntColonyAlg,4,12.80
AntColonyAlg,5,12.80
AntColonyAlg,6,12.80
AntColonyAlg,7,12.80
AntColonyAlg,8,12.80
AntColonyAlg,9,12.80
AntColonyAlg,10,12.80
AntColonyAlg,11,12.80
AntColonyAlg,12,12.80
AntColonyAlg,13,12.80
AntColonyAlg,14,12.80
AntColonyAlg,15,12.80
AntColonyAlg,16,12.80
AntColonyAlg,17,12.20
AntColonyAlg,18,12.20
AntColonyAlg,19,12.20
AntColonyAlg,20,12.20
AntColonyAlg,21,12.20
AntColonyAlg,22,12.20
AntColonyAlg,23,12.20
AntColonyAlg,24,12.20
AntColonyAlg,25,12.20
AntColonyAlg,26,12.20
AntColonyAlg,27,12.20
AntColonyAlg,28,12.20
AntColonyAlg,29,12.20
AntColonyAlg,30,12.20
AntColonyAlg,31,12.20
AntColonyAlg,32,12.20
AntColonyAlg,33,12.20
AntColonyAlg,34,12.20
AntColonyAlg,35,12.20
AntColonyAlg,36,12.20
AntColonyAlg,37,12.20
AntColonyAlg,38,12.20
AntColonyAlg,39,12.20
AntColonyAlg,40,12.20
AntColonyAlg,41,12.20
AntColonyAlg,42,12.20
AntColonyAlg,43,12.20
AntColonyAlg,44,12.20
AntColonyAlg,45,12.20
AntColonyAlg,46,12.20
AntColonyAlg,47,12.20
AntColonyAlg,48,12.20
AntColonyAlg,49,12.20
AntColonyAlg,50,12.20
AntColonyAlg,51,12.20
AntColonyAlg,52,12.20
AntColonyAlg,53,12.20
AntColonyAlg,54,12.20
AntColonyAlg,55,12.20
AntColonyAlg,56,12.20
AntColonyAlg,57,12.20
AntColonyAlg,58,12.20
AntColonyAlg,59,12.20
AntColonyAlg,60,12.20
AntColonyAlg,61,12.20
AntColonyAlg,62,12.20
AntColonyAlg,63,12.20
AntColonyAlg,64,12.20
AntColonyAlg,65,12.20
AntColonyAlg,66,12.20
AntColonyAlg,67,12.20
AntColonyAlg,68,12.20
AntColonyAlg,69,12.20
AntColonyAlg,70,12.20
AntColonyAlg,71,12.20
AntColonyAlg,72,12.20
AntColonyAlg,73,12.20
AntColonyAlg,74,12.20
AntColonyAlg,75,12.20
AntColonyAlg,76,12.20
AntColonyAlg,77,12.20
AntColonyAlg,78,12.20
AntColonyAlg,79,12.20
AntColonyAlg,80,12.20
AntColonyAlg,81,12.20
AntColonyAlg,82,12.00
AntColonyAlg,83,12.00
AntColonyAlg,84,12.00
AntColonyAlg,85,12.00
AntColonyAlg,86,12.00
AntColonyAlg,87,12.00
AntColonyAlg,88,12.00
AntColonyAlg,89,12.00
AntColonyAlg,90,12.00
AntColonyAlg,91,12.00
AntColonyAlg,92,12.00
AntColonyAlg,93,12.00
AntColonyAlg,94,12.00
AntColonyAlg,95,12.00
AntColonyAlg,96,12.00
AntColonyAlg,97,12.00
AntColonyAlg,98,12.00
AntColonyAlg,99,12.00
AntColonyAlg,0,13.00
AntColonyAlg,1,13.00
AntColonyAlg,2,13.00
AntColonyAlg,3,13.00
AntColonyAlg,4,13.00
AntColonyAlg,5,13.00
AntColonyAlg,6,12.80
AntColonyAlg,7,12.80
AntColonyAlg,8,12.80
AntColonyAlg,9,12.80
AntColonyAlg,10,12.60
AntColonyAlg,11,12.60
AntColonyAlg,12,12.60
AntColonyAlg,13,12.60
AntColonyAlg,14,12.60
AntColonyAlg,15,12.60
AntColonyAlg,16,12.60
AntColonyAlg,17,12.60
AntColonyAlg,18,12.60
AntColonyAlg,19,12.60
AntColonyAlg,20,12.60
AntColonyAlg,21,12.60
AntColonyAlg,22,12.60
AntColonyAlg,23,12.60
AntColonyAlg,24,12.60
AntColonyAlg,25,12.20
AntColonyAlg,26,12.20
AntColonyAlg,27,12.20
AntColonyAlg,28,12.20
AntColonyAlg,29,12.20
AntColonyAlg,30,12.20
AntColonyAlg,31,12.20
AntColonyAlg,32,12.20
AntColonyAlg,33,12.20
AntColonyAlg,34,12.20
AntColonyAlg,35,12.20
AntColonyAlg,36,12.20
AntColonyAlg,37,12.20
AntColonyAlg,38,12.20
AntColonyAlg,39,12.20
AntColonyAlg,40,12.20
AntColonyAlg,41,12.20
AntColonyAlg,42,12.20
AntColonyAlg,43,12.20
AntColonyAlg,44,12.20
AntColonyAlg,45,12.20
AntColonyAlg,46,12.20
AntColonyAlg,47,12.20
AntColonyAlg,48,12.20
AntColonyAlg,49,12.20
AntColonyAlg,50,12.20
AntColonyAlg,51,12.20
AntColonyAlg,52,12.20
AntColonyAlg,53,12.20
AntColonyAlg,54,12.20
AntColonyAlg,55,12.20
AntColonyAlg,56,12.20
AntColonyAlg,57,12.20
AntColonyAlg,58,12.20
AntColonyAlg,59,12.20
AntColonyAlg,60,12.20
AntColonyAlg,61,12.20
AntColonyAlg,62,12.20
AntColonyAlg,63,12.20
AntColonyAlg,64,12.20
AntColonyAlg,65,12.20
AntColonyAlg,66,12.20
AntColonyAlg,67,12.20
AntColonyAlg,68,12.20
AntColonyAlg,69,12.20
AntColonyAlg,70,12.20
AntColonyAlg,71,12.20
AntColonyAlg,72,12.20
AntColonyAlg,73,12.20
AntColonyAlg,74,12.20
AntColonyAlg,75,12.20
AntColonyAlg,76,12.20
AntColonyAlg,77,12.20
AntColonyAlg,78,12.20
AntColonyAlg,79,12.20
AntColonyAlg,80,12.20
AntColonyAlg,81,12.20
AntColonyAlg,82,12.20
AntColonyAlg,83,12.20
AntColonyAlg,84,12.20
AntColonyAlg,85,12.20
AntColonyAlg,86,12.20
AntColonyAlg,87,12.20
AntColonyAlg,88,12.20
AntColonyAlg,89,12.20
AntColonyAlg,90,12.20
AntColonyAlg,91,12.20
AntColonyAlg,92,12.20
AntColonyAlg,93,12.20
AntColonyAlg,94,12.20
AntColonyAlg,95,12.20
AntColonyAlg,96,12.20
AntColonyAlg,97,12.20
AntColonyAlg,98,12.20
AntColonyAlg,99,12.20
